name,date,date_range,location,image_link,description
Bolt,1996,1996,,,Bolt and Six Degrees (1997) both become the first social media sites.
Myriad Genetics,1996,1996,,,"Myriad Genetics released the BRACAnalysis, the first commercial genetic test for assessing the risk of hereditary breast and ovarian cancer."
Google,1998,1998,,,"The search engine Google, is launched."
capsule endoscopy,1999,1999,,,"The first capsule endoscopy was performed, after being invented in the mid-1990s by Gavriel Iddan"
digital video recorder,1999,1999,,,"The first digital video recorder (DVR), the TiVo, is launched"
NTT DoCoMo,1999,1999,,,"NTT DoCoMo launches i-mode, the first integrated Online App store for mobile phones"
Food and Drug Administration,2001,2001,,,The Food and Drug Administration approved the first contraceptive patch
Android operating system,2003,2003,,,Development of the Android operating system for mobile devices
podcast,2004,2004,,,"First podcast, invented by Adam Curry and Dave Wine"
YouTube,2005,2005,,,"YouTube, the first popular video-streaming site, was founded by Jawed Karim"
Amazon,2006,2006,,,Amazon pioneered cloud computing
Apple Inc.,2007,2007,,,Apple Inc. released the iPhone
Kindle,2007,2007,,,First Kindle e-reader introduced by Amazon
video on demand,2007,2007,,,Subscription video on demand first offered by Netflix and Hulu
Satoshi Nakamoto,2008,2008,,,Satoshi Nakamoto develops the first blockchain.
quantum machine,2009,2009,,,The first quantum machine was created by Aaron D. O'Connell
synthetic organism,2010,2010,,,"The first synthetic organism, Mycoplasma laboratorium is created by the J. Craig Venter Institute"
Lidar,2010,2010,,,"Solid-state Lidar technology was introduced, replacing mechanical scanning with electronic beam steering"
Siri,2011,2011,,,"Apple released Siri, the first major company's virtual assistant"
Pepper,2014,2014,,,"Introduction of Pepper, the first commercial humanoid robot"
Amazon Echo,2014,2014,,,"Introduction of the Amazon Echo alongside Amazon Alexa, introducing smart home technology to homes"
CRISPR gene editing,2015,2015,,,Discovery of CRISPR gene editing method
OpenAI,2016,2016,,,OpenAI was introduced by Elon Musk and Sam Altman
artificial pancreas,2016,2016,,,First commercially available artificial pancreas
SpaceX,2016,2016,,,First successful launch of a multi-use rocket by SpaceX
IBM,2019,2019,,,"IBM launches IBM Q System One, its first integrated quantum computing system for commercial use."
5G,2019,2019,,,5G broadband cellular network technology introduced
MRNA vaccine,2020,2020,,,"The first MRNA vaccine to be approved by public health medicines regulators is co-developed by Pfizer and BioNTech for COVID-19, with the potential to treat other diseases and cancer"
OpenAI,2020,2020,,,OpenAI demonstrated an Artificial Intelligence model called GPT-3. The program was created to generate human-like responses when given prompts.
ChatGPT,2022,2022,,,"ChatGPT is launched to the public, making it the first mainstream generative AI to be released"
1890–1945,1890,1890,,,–1945
